lat	lng
40.808525	-73.945107
40.816448	-73.939217
40.80772	-73.949539
40.789478	-73.940269
40.800137	-73.944702
40.804562	-73.937302
40.804466	-73.937576
40.805744	-73.961723
40.813084	-73.942528
40.805958	-73.954224
40.804619	-73.937935
40.825233	-73.951363
40.802345	-73.945366
40.822567	-73.942314
40.800877	-73.958069
40.806652	-73.946465
40.811081	-73.953178
40.807892	-73.952652
40.834141	-73.941216
40.849472	-73.933624
40.800522	-73.946236
40.836552	-73.937256
40.789619	-73.95208
40.817711	-73.94178
40.805355	-73.939224
40.805103	-73.939377
40.810928	-73.950539
40.815414	-73.943474
40.78577	-73.948952
40.805901	-73.938759
40.834503	-73.940201
40.802166	-73.948723
40.809612	-73.959633
40.815304	-73.958023
40.828003	-73.938217
40.856644	-73.9328
40.807091	-73.945961
40.825787	-73.951141
40.838825	-73.941513
40.829105	-73.94857
40.804916	-73.956726
40.809952	-73.944031
40.800461	-73.958366
40.809776	-73.958923
40.802635	-73.956795
40.821682	-73.938904
40.797318	-73.950104
40.788013	-73.953857
40.802883	-73.933876
40.805325	-73.939232
40.804829	-73.952698
40.804768	-73.966164
40.807438	-73.953163
40.80418	-73.937126
40.833019	-73.935371
40.805286	-73.939125
40.804306	-73.966553
40.814087	-73.940651
40.796448	-73.949532
40.787807	-73.94957
40.820305	-73.936081
40.790024	-73.952179
40.805481	-73.93927
40.787491	-73.953873
40.809681	-73.950073
40.808395	-73.945152
40.839745	-73.941002
40.839191	-73.939072
40.818905	-73.952171
40.821117	-73.93779
40.786282	-73.948578
40.828354	-73.949203
40.813469	-73.94519
40.807365	-73.953209
40.809689	-73.944199
40.804295	-73.955124
40.798077	-73.939865
40.804787	-73.966179
40.848724	-73.934158
40.787266	-73.941864
40.848083	-73.930634
40.804398	-73.937599
40.804287	-73.966476
40.8302	-73.936623
40.804306	-73.966553
40.823509	-73.945099
40.865181	-73.928108
40.829586	-73.948341
40.827251	-73.941338
40.797405	-73.948936
40.805359	-73.939034
40.810009	-73.951324
40.791508	-73.953056
40.790218	-73.952095
40.868992	-73.917397
40.850384	-73.932953
40.810661	-73.952271
40.807972	-73.945168
40.801434	-73.953934
40.804298	-73.955544
40.798805	-73.947739
40.809925	-73.94751
40.824368	-73.948219
40.84948	-73.936562
40.805462	-73.939079
40.790764	-73.93924
40.818386	-73.952705
40.823269	-73.952766
40.802681	-73.953201
40.818981	-73.944832
40.809017	-73.948158
40.813873	-73.959892
40.813396	-73.937241
40.813244	-73.945396
40.810398	-73.95153
40.789345	-73.946274
40.819256	-73.93708
40.861423	-73.921097
40.820156	-73.936592
40.805405	-73.939697
40.805264	-73.939102
40.784191	-73.944
40.823711	-73.937431
40.805809	-73.946968
40.798855	-73.945709
40.790035	-73.952164
40.789738	-73.952278
40.809528	-73.949532
40.810669	-73.95079
40.810677	-73.952423
40.801132	-73.953873
40.78793	-73.944397
40.805264	-73.938995
40.802223	-73.949585
40.819889	-73.936768
40.808353	-73.945267
40.839733	-73.940956
40.805286	-73.939156
40.837189	-73.942421
40.825848	-73.943382
40.809586	-73.951675
40.805794	-73.965385
40.80759	-73.945732
40.803123	-73.963799
40.826111	-73.937874
40.805161	-73.93911
40.802067	-73.949539
40.805466	-73.939682
40.833946	-73.94458
40.865551	-73.927933
40.802338	-73.943138
40.81076	-73.952675
40.808102	-73.946007
40.799053	-73.951797
40.805157	-73.951225
40.806309	-73.965073
40.822315	-73.938835
40.790245	-73.952148
40.839828	-73.941109
40.82851	-73.942238
40.804657	-73.937965
40.810696	-73.952415
40.833931	-73.944908
40.807159	-73.947884
40.808243	-73.952492
40.826748	-73.950081
40.804852	-73.962334
40.805141	-73.956894
40.797054	-73.93454
40.801636	-73.948944
40.81395	-73.940887
40.802643	-73.933105
40.805134	-73.939133
40.792355	-73.944077
40.790943	-73.943192
40.860371	-73.928307
40.825134	-73.947296
40.804207	-73.93718
40.795414	-73.948181
40.799389	-73.94342
40.805252	-73.93911
40.805462	-73.939018
40.828251	-73.949074
40.848145	-73.939499
40.821468	-73.938492
40.800068	-73.946945
